Fechas,ESTACION 1,ESTACION 2,ESTACION 3,ESTACION 4,ESTACION 5,ESTACION 6
Fecha 1,700,450,220,100,410,410
Fecha 2,190,500,330,130,100,420
Fecha 3,120,160,360,87,100,140
Fecha 4,140,420,160,360,300,110
Fecha 5,310,120,220,160,180,180
Fecha 6,500,650,230,240,180,180
Fecha 7,260,500,270,100,260,170
Fecha 8,320,520,140,110,250,180
Fecha 9,530,400,160,110,120,120
Fecha 10,370,380,320,110,120,150
Fecha 11,180,330,380,190,140,130
Fecha 12,91,120,110,180,97,140
Fecha 13,140,85,96,220,320,150
Fecha 14,61,75,73,61,86,75
Fecha 15,40,50,42,31,61,57
Fecha 16,15,32,15,20,110,97
Fecha 17,26,29,28,12,90,21
Fecha 18,110,90,90,77,83,81
Fecha 19,110,280,190,130,120,300
Fecha 20,190,370,340,200,250,320
Fecha 21,150,200,230,200,230,310
Fecha 22,210,210,210,290,200,300
